Gene	Status
AF085998	non_indicated
RNF13	non_indicated
AF085997	non_indicated
NM_016641	non_indicated
AL832253	non_indicated
AL832252	non_indicated
PMM2	non_indicated
Contig13957_RC	non_indicated
NID2	non_indicated
NM_205855	non_indicated
ZNF702	non_indicated
CAMK4	non_indicated
Contig37920_RC	non_indicated
HMGCLL1	non_indicated
GRIN1	non_indicated
ENST00000299128	non_indicated
ENST00000299129	non_indicated
Contig24308_RC	non_indicated
FOXQ1	non_indicated
SP1	non_indicated
SP6	non_indicated
XM_211811	non_indicated
Contig43750_RC	non_indicated
Contig19324_RC	non_indicated
hCT1642032.2	non_indicated
Contig45303_RC	non_indicated
GTSE1	non_indicated
Contig404	non_indicated
Contig48021_RC	non_indicated
XM_210492	non_indicated
ITGA8	non_indicated
ITGA9	non_indicated
UGCG	non_indicated
ITGA1	non_indicated
ITGA2	non_indicated
ITGA5	non_indicated
RIT1	RASopathy_gene
PHLDA2	non_indicated
AK026818	non_indicated
GAP43	non_indicated
AL110176	non_indicated
HRH3	non_indicated
FBXL17	non_indicated
FBXL16	non_indicated
FBXL19	non_indicated
H19	non_indicated
GRP	non_indicated
THSD4	non_indicated
COL4A6	non_indicated
COL4A5	non_indicated
COL4A4	non_indicated
COL4A2	non_indicated
COL4A1	non_indicated
CHST3	non_indicated
CHST7	non_indicated
CHST6	non_indicated
BCL2A1	non_indicated
ITGAV	non_indicated
GPSM3	non_indicated
ITGAM	non_indicated
HLF	non_indicated
NOV	non_indicated
SMAD9	non_indicated
SMAD5	non_indicated
SMAD6	non_indicated
SMAD1	non_indicated
KIAA1509	non_indicated
HS3ST2	non_indicated
AA082669	non_indicated
CKS1B	non_indicated
SLC36A1	non_indicated
AK091357	non_indicated
C14orf115	non_indicated
C14orf113	non_indicated
AK091350	non_indicated
C14orf111	non_indicated
ART3	non_indicated
ART5	non_indicated
HERC2P4	non_indicated
HERC2P7	non_indicated
HSS00008035	non_indicated
HSS00008036	non_indicated
TCEA3	non_indicated
Contig51566_RC	non_indicated
XM_060153	non_indicated
Contig28455_RC	non_indicated
HSS00264849	non_indicated
CRTAM	non_indicated
PIPOX	non_indicated
CADPS2	non_indicated
Contig20755	non_indicated
CCDC110	non_indicated
ATP1A3	non_indicated
ATP1A2	non_indicated
