Gene	Status
UBE2Q2	non_indicated
RNF11	non_indicated
GTF2IP1	non_indicated
REM1	non_indicated
MVB12B	non_indicated
DUOXA2	non_indicated
CHMP1B	non_indicated
PMM1	non_indicated
ASS1	non_indicated
ZNF708	non_indicated
ZNF703	non_indicated
ZNF700	non_indicated
ZNF707	non_indicated
ZC3H10	non_indicated
ZC3H13	non_indicated
RNF115	non_indicated
SPN	non_indicated
RNF111	non_indicated
NACAP1	non_indicated
ZC3H18	non_indicated
DHX8	non_indicated
DHX9	non_indicated
NSRP1	non_indicated
NUP98	non_indicated
XPC	non_indicated
SP1	non_indicated
SP2	non_indicated
SP3	non_indicated
SP6	non_indicated
GOLIM4	non_indicated
OPA1	non_indicated
RAB40C	non_indicated
RAB40B	non_indicated
COL7A1	non_indicated
GTSE1	non_indicated
SPPL2B	non_indicated
NOP9	non_indicated
UGCG	non_indicated
ATP2A2	non_indicated
ATP2A3	non_indicated
ITGA1	non_indicated
ITGA2	non_indicated
NOP2	non_indicated
ITGA4	non_indicated
ITGA5	non_indicated
ITGA6	non_indicated
ITGA7	non_indicated
DENND4A	non_indicated
DENND4B	non_indicated
DENND4C	non_indicated
SWAP70	non_indicated
PHLDA1	non_indicated
PHLDA3	non_indicated
PHLDA2	non_indicated
TAP2	non_indicated
ZNF37BP	non_indicated
FBXL12	non_indicated
FBXL14	non_indicated
FBXL17	non_indicated
HRH1	non_indicated
TPRN	non_indicated
THSD4	non_indicated
FAM212A	non_indicated
COL4A2	non_indicated
COL4A1	non_indicated
CHST2	non_indicated
CHST5	non_indicated
ITGAX	non_indicated
BCL2A1	non_indicated
ITGAV	non_indicated
PREP	non_indicated
ITGAL	non_indicated
ITGAM	non_indicated
TRERF1	non_indicated
SMAD5	non_indicated
SMAD6	non_indicated
SMAD7	non_indicated
SMAD1	non_indicated
AFTPH	non_indicated
SMAD3	non_indicated
RFK	non_indicated
AMMECR1L	non_indicated
IGF2R	non_indicated
LOC649395	non_indicated
SLC36A1	non_indicated
ERICH1	non_indicated
HERC2P3	non_indicated
HERC2P2	non_indicated
HERC2P7	non_indicated
HERC2P9	non_indicated
TCEA2	non_indicated
TCEA3	non_indicated
TCEA1	non_indicated
ABCD1	non_indicated
CADPS2	non_indicated
RLF	non_indicated
CCDC112	non_indicated
MCF2L	non_indicated
CCDC111	non_indicated
LEO1	non_indicated
ATP1A1	non_indicated
MGRN1	non_indicated
CBLC	non_indicated
SPHK1	non_indicated
DPT	non_indicated
CUEDC1	non_indicated
C2CD2	non_indicated
CPEB4	non_indicated
GUSBP2	non_indicated
CPEB2	non_indicated
RBMXL1	non_indicated
SRBD1	non_indicated
ABAT	non_indicated
ZNF780A	non_indicated
ZNF780B	non_indicated
ZNF41	non_indicated
IFT80	non_indicated
TP53TG1	non_indicated
IFT88	non_indicated
ATG4C	non_indicated
ATG4D	non_indicated
CFH	non_indicated
GPT2	non_indicated
FBXO3	non_indicated
ANKFY1	non_indicated
CFB	non_indicated
LHPP	non_indicated
PNN	non_indicated
CFP	non_indicated
SIDT1	non_indicated
SIX5	non_indicated
MR1	non_indicated
HMG20A	non_indicated
C4orf19	non_indicated
RFX5	non_indicated
APP	non_indicated
RFX7	non_indicated
APC	non_indicated
ABCE1	non_indicated
UQCRC2	non_indicated
XPNPEP2	non_indicated
PAPLN	non_indicated
RETSAT	non_indicated
ZNF57	non_indicated
KHDRBS3	non_indicated
MSL3P1	non_indicated
DPYSL3	non_indicated
IGFBP2	non_indicated
IGFBP3	non_indicated
IGFBP6	non_indicated
IGFBP7	non_indicated
IGFBP4	non_indicated
IGFBP5	non_indicated
GJA1	non_indicated
GJA4	non_indicated
PMS2P3	non_indicated
PMS2P4	non_indicated
KDM3B	non_indicated
ZNF117	non_indicated
KDM3A	non_indicated
TMC4	non_indicated
TMC5	non_indicated
TMC6	non_indicated
GTPBP2	non_indicated
TMC8	non_indicated
PRKAR2A	non_indicated
PRKAR2B	non_indicated
MAGT1	non_indicated
TXNIP	non_indicated
S1PR4	non_indicated
IFT140	non_indicated
TMEM14A	non_indicated
MECOM	non_indicated
RSPH3	non_indicated
RSPH1	non_indicated
C9orf129	non_indicated
LOC646719	non_indicated
CLIC6	non_indicated
PHACTR4	non_indicated
CLIC4	non_indicated
CFHR1	non_indicated
NLGN2	non_indicated
CLIC3	non_indicated
PHACTR2	non_indicated
TMEM144	non_indicated
TMEM143	non_indicated
HOXD-AS1	non_indicated
TMEM141	non_indicated
FOXL1	non_indicated
UBE2NL	non_indicated
SOWAHA	non_indicated
SECISBP2L	non_indicated
SOWAHC	non_indicated
FANCI	non_indicated
HLA-DPA1	non_indicated
PKD1P1	non_indicated
KIAA1191	non_indicated
ZMAT1	non_indicated
ZMAT3	non_indicated
